id,prediction
sample_718,KIRC
sample_391,BRCA
sample_703,KIRC
sample_452,BRCA
sample_289,KIRC
sample_123,BRCA
sample_409,BRCA
sample_245,LUAD
sample_747,BRCA
sample_189,LUAD
sample_748,KIRC
sample_100,BRCA
sample_540,BRCA
sample_320,LUAD
sample_576,LUAD
sample_210,LUAD
sample_288,KIRC
sample_508,LUAD
sample_691,LUAD
sample_246,KIRC
sample_385,BRCA
sample_311,BRCA
sample_6,KIRC
sample_764,KIRC
sample_278,KIRC
sample_88,KIRC
sample_75,LUAD
sample_792,BRCA
sample_393,BRCA
sample_39,BRCA
sample_645,LUAD
sample_317,BRCA
sample_793,BRCA
sample_340,BRCA
sample_115,KIRC
sample_437,BRCA
sample_386,BRCA
sample_238,BRCA
sample_622,BRCA
sample_756,BRCA
sample_337,BRCA
sample_290,KIRC
sample_239,KIRC
sample_17,KIRC
sample_581,LUAD
sample_722,BRCA
sample_13,BRCA
sample_669,KIRC
sample_475,LUAD
sample_378,BRCA
sample_198,LUAD
sample_753,BRCA
sample_102,BRCA
sample_619,BRCA
sample_341,BRCA
sample_577,LUAD
sample_140,BRCA
sample_119,BRCA
sample_520,BRCA
sample_432,BRCA
sample_106,LUAD
sample_725,BRCA
sample_775,BRCA
sample_40,KIRC
sample_103,KIRC
sample_220,KIRC
sample_494,LUAD
sample_574,BRCA
sample_779,LUAD
sample_55,BRCA
sample_558,LUAD
sample_287,BRCA
sample_760,BRCA
sample_114,BRCA
sample_487,LUAD
sample_685,LUAD
sample_83,BRCA
sample_109,LUAD
sample_313,LUAD
sample_373,LUAD
sample_297,BRCA
sample_18,KIRC
sample_784,BRCA
sample_116,KIRC
sample_461,LUAD
sample_593,BRCA
sample_111,BRCA
sample_614,BRCA
sample_152,BRCA
sample_375,BRCA
sample_224,LUAD
sample_735,BRCA
sample_547,KIRC
sample_358,BRCA
sample_144,LUAD
sample_355,LUAD
sample_222,KIRC
sample_192,LUAD
sample_644,LUAD
sample_16,LUAD
sample_201,KIRC
sample_482,KIRC
sample_599,unknown
sample_396,KIRC
sample_781,KIRC
sample_782,BRCA
sample_117,KIRC
sample_215,BRCA
sample_283,LUAD
sample_711,KIRC
sample_462,LUAD
sample_578,BRCA
sample_163,BRCA
sample_751,BRCA
sample_151,LUAD
sample_492,KIRC
sample_573,BRCA
sample_454,BRCA
sample_0,BRCA
sample_2,BRCA
sample_3,BRCA
sample_5,BRCA
sample_7,BRCA
sample_9,BRCA
sample_12,BRCA
sample_19,BRCA
sample_26,LUAD
sample_34,BRCA
sample_41,BRCA
sample_42,BRCA
sample_46,BRCA
sample_47,LUAD
sample_53,BRCA
sample_54,unknown
sample_57,LUAD
sample_64,BRCA
sample_65,LUAD
sample_67,BRCA
sample_78,BRCA
sample_79,LUAD
sample_81,BRCA
sample_84,BRCA
sample_85,BRCA
sample_90,BRCA
sample_91,BRCA
sample_95,BRCA
sample_96,LUAD
sample_98,BRCA
sample_107,LUAD
sample_110,BRCA
sample_113,BRCA
sample_124,BRCA
sample_125,BRCA
sample_126,BRCA
sample_130,LUAD
sample_132,LUAD
sample_139,LUAD
sample_141,BRCA
sample_145,LUAD
sample_146,BRCA
sample_157,BRCA
sample_158,BRCA
sample_160,BRCA
sample_164,BRCA
sample_166,LUAD
sample_177,BRCA
sample_180,LUAD
sample_183,BRCA
sample_184,BRCA
sample_185,BRCA
sample_193,BRCA
sample_205,BRCA
sample_207,BRCA
sample_212,BRCA
sample_214,BRCA
sample_227,BRCA
sample_231,BRCA
sample_232,LUAD
sample_235,BRCA
sample_237,LUAD
sample_242,BRCA
sample_243,BRCA
sample_249,LUAD
sample_251,BRCA
sample_252,BRCA
sample_254,BRCA
sample_256,BRCA
sample_257,BRCA
sample_258,BRCA
sample_260,LUAD
sample_261,LUAD
sample_263,LUAD
sample_264,LUAD
sample_265,BRCA
sample_272,LUAD
sample_273,BRCA
sample_275,BRCA
sample_299,BRCA
sample_302,LUAD
sample_304,BRCA
sample_308,unknown
sample_310,BRCA
sample_312,LUAD
sample_315,BRCA
sample_321,LUAD
sample_330,BRCA
sample_335,BRCA
sample_338,BRCA
sample_339,LUAD
sample_348,BRCA
sample_353,LUAD
sample_354,LUAD
sample_361,LUAD
sample_363,LUAD
sample_365,BRCA
sample_371,LUAD
sample_372,BRCA
sample_374,BRCA
sample_377,BRCA
sample_379,LUAD
sample_382,LUAD
sample_383,LUAD
sample_384,BRCA
sample_387,BRCA
sample_390,BRCA
sample_400,unknown
sample_401,BRCA
sample_404,BRCA
sample_411,BRCA
sample_413,BRCA
sample_414,LUAD
sample_425,BRCA
sample_427,BRCA
sample_431,LUAD
sample_433,BRCA
sample_443,BRCA
sample_444,LUAD
sample_448,BRCA
sample_450,BRCA
sample_464,LUAD
sample_465,BRCA
sample_466,LUAD
sample_471,BRCA
sample_473,LUAD
sample_477,BRCA
sample_478,BRCA
sample_480,BRCA
sample_483,BRCA
sample_486,BRCA
sample_490,LUAD
sample_493,LUAD
sample_496,BRCA
sample_499,BRCA
sample_501,unknown
sample_503,LUAD
sample_510,LUAD
sample_517,BRCA
sample_519,BRCA
sample_525,BRCA
sample_526,BRCA
sample_530,LUAD
sample_531,LUAD
sample_537,BRCA
sample_539,LUAD
sample_542,LUAD
sample_548,BRCA
sample_553,LUAD
sample_557,BRCA
sample_561,unknown
sample_565,BRCA
sample_570,LUAD
sample_571,BRCA
sample_579,BRCA
sample_584,BRCA
sample_585,LUAD
sample_587,BRCA
sample_588,LUAD
sample_590,LUAD
sample_597,LUAD
sample_600,BRCA
sample_601,BRCA
sample_607,LUAD
sample_609,BRCA
sample_610,BRCA
sample_613,LUAD
sample_618,LUAD
sample_620,BRCA
sample_624,BRCA
sample_634,LUAD
sample_640,BRCA
sample_650,LUAD
sample_652,LUAD
sample_656,BRCA
sample_657,BRCA
sample_658,BRCA
sample_660,BRCA
sample_661,BRCA
sample_662,LUAD
sample_665,LUAD
sample_670,LUAD
sample_674,BRCA
sample_678,BRCA
sample_680,BRCA
sample_684,BRCA
sample_686,BRCA
sample_687,BRCA
sample_690,BRCA
sample_692,LUAD
sample_693,LUAD
sample_704,BRCA
sample_707,BRCA
sample_709,BRCA
sample_713,BRCA
sample_714,BRCA
sample_715,BRCA
sample_717,BRCA
sample_731,BRCA
sample_732,LUAD
sample_741,BRCA
sample_743,BRCA
sample_745,unknown
sample_752,BRCA
sample_754,BRCA
sample_755,LUAD
sample_766,LUAD
sample_767,LUAD
sample_783,BRCA
sample_788,BRCA
sample_794,BRCA
sample_798,LUAD
sample_799,BRCA
sample_800,BRCA
