id,Class
sample_6,KIRC
sample_475,LUAD
sample_577,LUAD
sample_106,LUAD
sample_461,LUAD
sample_599,BRCA
sample_5,BRCA
sample_7,BRCA
sample_9,BRCA
sample_12,BRCA
sample_19,BRCA
sample_26,LUAD
sample_34,BRCA
sample_41,BRCA
sample_42,BRCA
sample_46,BRCA
sample_47,LUAD
sample_53,BRCA
sample_54,LUAD
sample_57,LUAD
sample_64,BRCA
sample_65,LUAD
sample_67,BRCA
sample_79,LUAD
sample_81,BRCA
sample_84,BRCA
sample_85,BRCA
sample_91,BRCA
sample_95,BRCA
sample_96,LUAD
sample_98,BRCA
sample_107,LUAD
sample_110,BRCA
sample_113,BRCA
sample_124,BRCA
sample_125,BRCA
sample_126,BRCA
sample_130,LUAD
sample_132,LUAD
sample_139,LUAD
sample_141,BRCA
sample_145,LUAD
sample_146,BRCA
sample_157,BRCA
sample_160,BRCA
sample_164,BRCA
sample_166,LUAD
sample_180,LUAD
sample_183,BRCA
sample_184,BRCA
sample_185,BRCA
sample_193,BRCA
sample_205,BRCA
sample_212,BRCA
sample_214,BRCA
sample_227,BRCA
sample_231,BRCA
sample_232,LUAD
sample_235,BRCA
sample_237,LUAD
sample_242,BRCA
sample_243,BRCA
sample_249,LUAD
sample_251,BRCA
sample_252,LUAD
sample_254,BRCA
sample_256,BRCA
sample_258,BRCA
sample_260,LUAD
sample_261,LUAD
sample_263,LUAD
sample_264,LUAD
sample_265,BRCA
sample_272,LUAD
sample_273,BRCA
sample_299,BRCA
sample_302,LUAD
sample_304,BRCA
sample_308,LUAD
sample_310,BRCA
sample_312,LUAD
sample_321,LUAD
sample_330,BRCA
sample_335,BRCA
sample_339,LUAD
sample_353,LUAD
sample_354,LUAD
sample_361,LUAD
sample_363,LUAD
sample_365,BRCA
sample_371,LUAD
sample_374,BRCA
sample_377,BRCA
sample_379,LUAD
sample_382,LUAD
sample_383,LUAD
sample_387,LUAD
sample_390,BRCA
sample_400,LUAD
sample_401,BRCA
sample_404,BRCA
sample_411,BRCA
sample_413,BRCA
sample_414,LUAD
sample_425,BRCA
sample_427,BRCA
sample_431,LUAD
sample_433,BRCA
sample_444,LUAD
sample_448,BRCA
sample_464,BRCA
sample_466,LUAD
sample_471,BRCA
sample_473,LUAD
sample_477,BRCA
sample_478,BRCA
sample_483,BRCA
sample_486,BRCA
sample_490,LUAD
sample_493,LUAD
sample_499,BRCA
sample_501,LUAD
sample_503,LUAD
sample_510,LUAD
sample_517,BRCA
sample_519,BRCA
sample_526,BRCA
sample_530,LUAD
sample_531,LUAD
sample_537,BRCA
sample_539,LUAD
sample_542,LUAD
sample_548,BRCA
sample_553,LUAD
sample_557,BRCA
sample_561,BRCA
sample_565,BRCA
sample_570,LUAD
sample_571,BRCA
sample_584,BRCA
sample_585,LUAD
sample_587,BRCA
sample_588,LUAD
sample_590,LUAD
sample_597,LUAD
sample_600,BRCA
sample_601,BRCA
sample_607,LUAD
sample_609,BRCA
sample_610,BRCA
sample_613,LUAD
sample_618,LUAD
sample_620,BRCA
sample_624,BRCA
sample_634,LUAD
sample_640,BRCA
sample_650,LUAD
sample_652,LUAD
sample_656,BRCA
sample_657,BRCA
sample_660,BRCA
sample_661,BRCA
sample_662,LUAD
sample_665,LUAD
sample_670,LUAD
sample_674,BRCA
sample_678,BRCA
sample_680,BRCA
sample_684,BRCA
sample_686,BRCA
sample_687,BRCA
sample_690,BRCA
sample_692,LUAD
sample_693,LUAD
sample_707,BRCA
sample_713,LUAD
sample_714,BRCA
sample_715,BRCA
sample_717,BRCA
sample_731,BRCA
sample_732,LUAD
sample_745,LUAD
sample_752,BRCA
sample_755,LUAD
sample_766,LUAD
sample_767,BRCA
sample_788,BRCA
sample_798,LUAD
sample_799,BRCA
sample_800,BRCA
